tweet,emotion
wesley83 3g iphone 3 hr tweeting rise_austin dead need upgrade plugin station sxsw,0
jessedee know fludapp awesome ipad/iphone app likely appreciate design also giving free t sxsw,1
swonderlin wait ipad 2 also sale sxsw,1
sxsw hope year festival crashy year iphone app sxsw,0
sxtxstate great stuff fri sxsw marissa mayer google tim o'reilly tech books/conferences amp matt mullenweg wordpress,1
sxsw starting ctia around corner googleio hop skip jump good time android fan,1
beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw,1
counting day sxsw plus strong canadian dollar mean stock apple gear,1
excited meet samsungmobileus sxsw show sprint galaxy still running android 2.1 fail,1
find amp start impromptu party sxsw hurricaneparty ca wait til android app come,1
foursquare ups game time sxsw still prefer gowalla far best looking android app date,1
got ta love sxsw google calendar featuring top parties/ show case check rt hamsandwich via ischafer gt //bit.ly/axzwxb,1
great sxsw ipad app madebymany //tinyurl.com/4nqv92l,1
haha awesomely rad ipad app madebymany //bit.ly/htdfim hollergram sxsw,1
noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,0
added sxsw flight planely matching people planes/airports also downloaded klm iphone app nicely done,1
must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram //t.co/g4gzypv,1
need buy ipad2 'm austin sxsw sure need q austin apple store,1
oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,1
okay really yay new foursquare android app 11 kthxbai sxsw,1
photo installed sxsw iphone app really nice //tumblr.com/x6t1pi6av7,1
really enjoying change gowalla 3.0 android looking forward seeing else amp foursquare sleeve sxsw,1
rt laurieshook 'm looking forward smcdallas pre sxsw party wed. hoping win ipad resulting shameless promotion chevysmc,1
rt haha awesomely rad ipad app madebymany //bit.ly/htdfim hollergram sxsw via michaelpiliero,1
someone started austin partnerhub group google group pre- sxsw great idea,1
new 4sq3 look like going rock update iphone android push tonight //bit.ly/etsbzk sxsw keepaustinweird,1
right gowalla 3 app android sweeeeet nice job team sxsw,1
smart madebymany hollergram ipad app sxsw //t.co/a3xvwc6 may leave vuvuzela home,1
must app ipad going sxsw //itunes.apple.com/us/app/holler-gram/id420666439 mt=8 hollergram,1
best rt mention ha first line ipad2 sxsw quot pop-up quot apple store event planner eventprofs pcma engage365,1
mention false alarm google circle coming nowûòand probably ever link google circle social sxsw,0
mention great weather greet sxsw still need sweater night..apple putting quot flash store quot downtown sell ipad2,1
ipad2 û÷ smartcoverûª open instant access waited get one link apple sxsw,1
hand-held û÷hoboûª drafthouse launch û÷hobo shotgunûª iphone app sxsw link,1
hooray rt mention apple opening pop-up store austin sxsw mention link,1
wooooo mention apple store downtown austin open til midnight,1
mention mention talking link google effort allow user open system bettercloud,1
link rt mention 1st stop sxsw chaos amp mention hunt austin java get spy game 4 chance 2 win ipad,1
omfg rt mention heard apple pop-up store downtown austin pic already gowalla link sxsw ipad2,1
rt mention line apple store insane.. sxsw,0
attending mention ipad design headache sxsw link,0
boooo rt mention flipboard developing iphone version android say mention sxsw,0
check mention mention amp mention line ipad 2 austin power sxswi sxsw link,1
rt mention come party w/ google tonight sxsw link band food art ice cream nifty interactive map,1
holla rt mention google party best ever get butt sxsw,1
love mention iphone case sxsw ca get phone fail,1
new post mention iphone app make easy connect social network people meet link sxsw,1
nice mention iphone app behaving today crash yesterday ridiculous sxsw,1
nice rt mention hey apple fan get peek space slated pop-up sxsw apple store tomorrow link,1
one thing mention great get great earth face google company love sxsw sxwsi,1
thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,1
mention sxsw provide iphone charger 've changed mind going next year,0
xmas rt mention shiny new mention mention mention apps new garyvee book pop-up ipad 2 store sxsw christmas nerd,1
yai rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link,1
fast fun amp future mention google presenting sxsw search local mobile,1
headline quot ipad 2 must-have gadget sxsw quot hmm could seen one coming link gadget,1
know quot dataviz quot translates quot satanic quot iphone 'm sayin sxsw,0
mention quot google launched checkins month ago. quot check in ok check out future sxsw bizzy,1
mention quot google tweet quot new quot think speak. quot mark belinsky 911tweets panel sxsw.û,1
kawasaki quot c.s lewis level reasoning apple continued existence evidence existence god quot bawling sxsw,1
kawasaki quot pagemaker saved apple. quot oh day sxsw jwtatl enchantment via mention,1
spark android teamandroid award sxsw read link,1
sxsw apple ipad 2 great thought w/ japan apac region dealing w/ earthquake amp tsunami trauma sxswi,1
sxsw apple school marketing expert link,1
temporary apple store def tent powerhouse gym sxsw link,1
"temporary apple store 6th congress sxsw along 10,000 happy hipster",1
mention apple win sxsw link opening temporary store downtown austin support ipad2 launch good,1
ipad austin trending today fun sxsw nerdy nerd,1
christian ipad iphone devs want talk u sxsw -maybe wk together cool app mention,1
apple ipad2 taken sxsw austin storm.. link mention excited part mobile,1
haz ipad2 ifrom sxsw gr8 link,1
stack ipad2 waiting bought sxsw got mine hassle apple handled perfectly link,1
smallbiz need review play google place got app that.. link seo sxsw,1
"take sxsw rt mention major south korean director get 130,000 make movie entirely iphone link",1
beautiful sxsw mention apple store sxsw pic link,1
must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link,1
temporary sxsw apple store apple sneaky usual link,1
mention sxsw beta testing interactive book ipad app moonbot studio louisiana cool app.û,1
apple sxsw day one seeing ton ipad2,1
mention sxsw ipad store sold everything except 64gig wifi whiteû mention manage get,1
mention sxsw ipad store sold everything except 64gig wifi whiteû also known white jean configuration,1
offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw,1
poursite sxsw learning life-changing impact ipad real people actual life bravo,1
mention sxsw lonelyplanet austin guide iphone free limited time link lp travel,1
apple sxsw store still ipad 2 short line,1
left sxsw tradeshow demo mention google theatre ok get see presenter using,1
anyone sxsw want make quick hundred dollar new ipad2 ad hoc apple store get hundred plus cost,1
monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday,1
seriously sxsw testing mobile apps constant ipad crash causing lost schedule sync wp7,0
ready sxsw iphone apps 2 make ur blogging easier link sxsw sxswi,1
ipad2 sxsw conflagration doofusness link,0
attention sxsw'ers link rumored pop-up temporary apple store sxsw ipad 2 launch need,1
went sxswi lousy ipad sxsw link,1
winning picture android google sxsw link,1
"spent 1,000+ come sxsw 've already used ipad 1 wait couple city block ipad2 sxsw link",0
behind 100 email give 1 line iphone composed reply sxsw protip,1
like 10pm night line around block popup apple store selling ipad2s sxsw,1
'm 2 ipad 2 seen wild people say fast still pic terrible sxsw,0
ipad 2 take sxsw video /by mention link,1
many ipad 2 snapping away keynote slide sxsw,1
new post 3 iphone apps using south southwest interactive link sxsw sxswi,1
sweet new 3-d google map demo going ballroom sxsw,1
35 million mile per day driving google map navigation sxsw,1
sxsw day 5 apple store still line growing link,1
band sxsw want share track audience stage use frostwire android wi-fi available,1
u iphone need car'-use zimride etc share ride sxsw shareable,1
picked mophie battery case 4 iphone prep sxsw lugging around laptop amp using phone huge win last year,1
rumor monger good read å_ google circle preview mention sxsw link mention via mention socbiz fb,1
hobo shotgun video game coming ipad/iphone user yes please link sxsw,1
build store le 24 hour one biggest launch company history got apple sxsw ipad2,1
